Campaign Name,Ad Name,Amount Spent,Reach,Impressions,Clicks (All),Results,Day,Ad Set Name
Teste mdv passo 4 story,Teste mdv passo 4 story — embalagem,"11,57",1322,1681,11,7,2021-01-14,carinhanha
Engajamento - Guanambi,teste 11 passo 3,0,1,1,0,,2021-01-14,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 12 passo 3,"0,17",123,125,0,22,2021-01-14,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"14,42",6942,7011,20,1715,2021-01-15,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 09 passo 3,"0,54",181,181,1,23,2021-01-15,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — embalagem,"11,37",1695,2892,3,2,2021-01-15,carinhanha
Engajamento - Guanambi,teste 11 passo 3,"0,16",56,58,3,10,2021-01-15,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 12 passo 3,"0,16",83,83,1,13,2021-01-15,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,15,6696,7090,13,1729,2021-01-16,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 09 passo 3,"0,59",178,182,0,36,2021-01-16,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — embalagem,"11,42",1735,2771,12,5,2021-01-16,carinhanha
Engajamento - Guanambi,teste 11 passo 3,"0,05",12,12,0,1,2021-01-16,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 12 passo 3,"0,03",27,27,0,3,2021-01-16,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"14,4",7276,7456,13,1756,2021-01-17,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 09 passo 3,"0,65",223,225,0,33,2021-01-17,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — embalagem,"10,14",1720,2661,11,5,2021-01-17,carinhanha
Engajamento - Guanambi,teste 11 passo 3,"0,03",8,8,0,,2021-01-17,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 12 passo 3,"0,02",16,16,0,4,2021-01-17,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"14,42",7298,7584,24,1730,2021-01-18,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 09 passo 3,"0,58",200,203,0,33,2021-01-18,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — embalagem,"9,62",1720,2690,10,2,2021-01-18,carinhanha
Engajamento - Guanambi,teste 11 passo 3,"0,03",6,6,0,4,2021-01-18,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 12 passo 3,"0,02",9,9,0,1,2021-01-18,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"14,14",6520,6634,14,1614,2021-01-19,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 09 passo 3,"0,51",186,189,1,25,2021-01-19,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — embalagem,"9,53",1702,2536,1,1,2021-01-19,carinhanha
Engajamento - Guanambi,teste 11 passo 3,"0,03",7,7,0,2,2021-01-19,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 12 passo 3,"0,01",19,21,0,4,2021-01-19,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,14,6358,6441,13,1539,2021-01-20,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 09 passo 3,"0,69",222,223,0,26,2021-01-20,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — embalagem,"9,85",1731,2576,4,3,2021-01-20,carinhanha
Engajamento - Guanambi,teste 11 passo 3,"0,01",5,5,0,,2021-01-20,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 12 passo 3,"0,01",10,10,0,3,2021-01-20,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"15,26",6500,6696,19,1548,2021-01-21,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 09 passo 3,"0,27",93,93,0,13,2021-01-21,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — embalagem,"4,73",1178,1350,3,3,2021-01-21,carinhanha
Engajamento - Guanambi,teste 11 passo 3,0,2,2,0,,2021-01-21,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 12 passo 3,"0,01",7,7,0,,2021-01-21,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 14 passo 3,"1,25",361,361,0,63,2021-01-21,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — video rayane,"8,32",1243,1425,9,4,2021-01-21,carinhanha
Engajamento - Guanambi,teste 15 passo 3,"0,27",122,123,0,6,2021-01-21,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 16 passo 3,"0,08",51,53,0,4,2021-01-21,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"18,7",7542,7796,23,1646,2021-01-22,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 14 passo 3,"1,08",250,252,1,49,2021-01-22,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — video rayane,"14,13",1675,2564,10,6,2021-01-22,carinhanha
Engajamento - Guanambi,teste 15 passo 3,"0,15",61,63,0,7,2021-01-22,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 16 passo 3,"0,3",90,91,0,10,2021-01-22,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"19,4",7578,7902,17,1789,2021-01-23,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 14 passo 3,"0,69",161,163,0,28,2021-01-23,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — video rayane,"15,45",1747,2615,9,3,2021-01-23,carinhanha
Engajamento - Guanambi,teste 15 passo 3,"0,05",14,14,0,,2021-01-23,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 16 passo 3,"0,22",40,41,0,7,2021-01-23,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"19,46",8514,8756,31,1985,2021-01-24,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 14 passo 3,"0,45",115,116,1,24,2021-01-24,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — video rayane,"14,28",1696,2621,3,3,2021-01-24,carinhanha
Engajamento - Guanambi,teste 15 passo 3,"0,02",6,6,0,1,2021-01-24,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 16 passo 3,"0,17",30,30,1,10,2021-01-24,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"19,37",8492,8838,28,1938,2021-01-25,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 14 passo 3,"0,49",114,115,2,28,2021-01-25,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — video rayane,"15,13",1783,2812,5,3,2021-01-25,carinhanha
Engajamento - Guanambi,teste 15 passo 3,0,2,2,0,,2021-01-25,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 16 passo 3,"0,15",35,36,0,7,2021-01-25,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"19,36",7810,8205,21,1725,2021-01-26,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 14 passo 3,"0,54",148,151,0,21,2021-01-26,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — video rayane,"14,48",1642,2522,9,3,2021-01-26,carinhanha
Engajamento - Guanambi,teste 15 passo 3,"0,02",4,4,0,1,2021-01-26,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 16 passo 3,"0,1",23,23,0,3,2021-01-26,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"19,91",7545,7756,27,1771,2021-01-27,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 14 passo 3,"0,11",34,34,0,4,2021-01-27,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — video rayane,"14,44",1635,2372,8,2,2021-01-27,carinhanha
Engajamento - Guanambi,teste 15 passo 3,0,5,5,0,1,2021-01-27,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 16 passo 3,"0,06",15,15,0,2,2021-01-27,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"19,45",7114,7353,13,1632,2021-01-28,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 14 passo 3,"0,23",57,57,0,6,2021-01-28,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — video rayane,"14,92",1682,2497,6,3,2021-01-28,carinhanha
Engajamento - Guanambi,teste 15 passo 3,"0,04",6,6,0,2,2021-01-28,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 16 passo 3,"0,08",21,21,0,,2021-01-28,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"19,68",7412,7696,17,1651,2021-01-29,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 14 passo 3,"0,25",48,49,0,4,2021-01-29,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — video rayane,"15,32",1594,2282,9,4,2021-01-29,carinhanha
Engajamento - Guanambi,teste 15 passo 3,"0,06",14,14,0,3,2021-01-29,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 16 passo 3,"0,08",16,18,1,2,2021-01-29,PASSO 03 MDV GBI
Engajamento - Guanambi,teste coxinha BBB passo 3,"0,17",41,44,0,6,2021-01-30,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"27,82",9926,10236,28,2218,2021-01-30,PASSO 03 MDV GBI
Engajamento - Guanambi,teste fabrica passo 3,"0,06",10,10,1,6,2021-01-30,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — video rayane,"2,1",325,326,0,,2021-01-30,carinhanha
Engajamento - Guanambi,teste 16 passo 3,"0,02",3,3,0,,2021-01-30,PASSO 03 MDV GBI
Engajamento - Guanambi,teste coxinha BBB passo 3,"0,29",61,66,0,11,2021-01-31,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"29,88",10640,11241,20,2352,2021-01-31,PASSO 03 MDV GBI
Engajamento - Guanambi,teste fabrica passo 3,"0,03",5,5,0,2,2021-01-31,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"29,61",12072,12784,29,2694,2021-02-01,PASSO 03 MDV GBI
Engajamento - Guanambi,teste coxinha BBB passo 3,"0,31",68,70,0,13,2021-02-01,PASSO 03 MDV GBI
Engajamento - Guanambi,teste fabrica passo 3,"0,08",12,12,0,3,2021-02-01,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"28,92",11052,11694,21,2473,2021-02-02,PASSO 03 MDV GBI
Engajamento - Guanambi,teste coxinha BBB passo 3,"0,15",36,36,0,5,2021-02-02,PASSO 03 MDV GBI
Engajamento - Guanambi,teste fabrica passo 3,"0,05",6,6,0,4,2021-02-02,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"29,46",10753,11197,20,2297,2021-02-03,PASSO 03 MDV GBI
Engajamento - Guanambi,teste coxinha BBB passo 3,"0,03",13,15,0,1,2021-02-03,PASSO 03 MDV GBI
Engajamento - Guanambi,teste fabrica passo 3,"0,08",9,9,0,5,2021-02-03,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"25,65",8944,9362,21,1875,2021-02-04,PASSO 03 MDV GBI
Engajamento - Guanambi,teste coxinha BBB passo 3,"0,08",9,9,0,1,2021-02-04,PASSO 03 MDV GBI
Engajamento - Guanambi,teste fabrica passo 3,"0,05",4,4,0,1,2021-02-04,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 17 passo 3,"0,85",228,233,0,20,2021-02-04,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 18 passo 3,"2,45",558,562,3,112,2021-02-04,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 19 passo 3,"1,05",196,197,0,37,2021-02-04,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"22,28",7835,8149,21,1630,2021-02-05,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 17 passo 3,"0,74",144,147,0,30,2021-02-05,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 18 passo 3,"6,2",1463,1519,19,222,2021-02-05,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 19 passo 3,"1,2",197,200,0,38,2021-02-05,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"24,95",8904,9150,18,1808,2021-02-06,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 17 passo 3,"0,41",77,77,0,7,2021-02-06,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 18 passo 3,"3,98",996,1024,8,134,2021-02-06,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 19 passo 3,"1,22",206,212,3,36,2021-02-06,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"26,67",10250,10664,41,2046,2021-02-07,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 17 passo 3,"0,23",50,50,0,5,2021-02-07,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 18 passo 3,"2,38",617,631,6,86,2021-02-07,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 19 passo 3,"1,22",260,264,0,35,2021-02-07,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"24,81",9206,9635,21,1811,2021-02-08,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 17 passo 3,"0,52",89,89,0,14,2021-02-08,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 18 passo 3,"2,66",711,732,7,101,2021-02-08,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 19 passo 3,"1,49",289,294,1,48,2021-02-08,PASSO 03 MDV GBI
Inauguração,Inauguração gbi,"4,49",3468,3468,14,,2021-02-08,Inauguração
Engajamento - Guanambi,teste 07 passo 3,"23,78",7313,7687,17,1618,2021-02-09,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 17 passo 3,"0,87",147,149,0,20,2021-02-09,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 18 passo 3,"3,63",916,938,4,123,2021-02-09,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 19 passo 3,"0,96",180,181,3,29,2021-02-09,PASSO 03 MDV GBI
Inauguração,Inauguração gbi,"19,37",15242,15242,38,,2021-02-09,Inauguração
Engajamento - Guanambi,teste 07 passo 3,"23,47",6406,6705,23,1390,2021-02-10,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 17 passo 3,"0,6",98,99,0,10,2021-02-10,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 18 passo 3,"4,3",973,993,7,95,2021-02-10,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 19 passo 3,"1,44",240,241,1,34,2021-02-10,PASSO 03 MDV GBI
Inauguração,Inauguração gbi,"20,01",8753,8762,53,,2021-02-10,Inauguração
Engajamento - Guanambi,teste 07 passo 3,"23,27",6275,6544,14,1317,2021-02-11,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 17 passo 3,"0,77",115,116,0,18,2021-02-11,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 18 passo 3,"4,18",960,980,6,111,2021-02-11,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 19 passo 3,"1,83",296,296,2,47,2021-02-11,PASSO 03 MDV GBI
Inauguração,Inauguração gbi,"20,89",6636,6645,19,,2021-02-11,Inauguração
Engajamento - Guanambi,teste 07 passo 3,"23,18",6604,6728,11,1317,2021-02-12,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 17 passo 3,"0,63",95,95,0,8,2021-02-12,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 18 passo 3,"4,6",994,1015,7,96,2021-02-12,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 19 passo 3,"1,67",249,252,1,40,2021-02-12,PASSO 03 MDV GBI
Inauguração,Inauguração gbi,"21,78",5984,5984,29,,2021-02-12,Inauguração
Engajamento - Guanambi,teste 07 passo 3,"21,55",5530,5763,10,1183,2021-02-13,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 17 passo 3,"0,82",108,109,2,18,2021-02-13,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 18 passo 3,"4,97",1106,1134,9,97,2021-02-13,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 19 passo 3,"3,5",552,561,1,68,2021-02-13,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"23,11",6280,6575,22,1358,2021-02-14,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 17 passo 3,"0,6",92,94,0,10,2021-02-14,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 18 passo 3,"4,4",1011,1029,7,90,2021-02-14,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 19 passo 3,"2,58",465,468,1,56,2021-02-14,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"24,13",7352,7498,23,1468,2021-02-15,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 17 passo 3,"0,49",80,80,0,4,2021-02-15,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 18 passo 3,"4,14",1048,1074,8,116,2021-02-15,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 19 passo 3,"1,69",306,308,2,37,2021-02-15,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"38,99",12176,12701,40,3458,2021-02-16,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 17 passo 3,"0,03",4,4,0,2,2021-02-16,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 18 passo 3,"3,32",899,913,6,106,2021-02-16,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 19 passo 3,"0,09",23,24,0,4,2021-02-16,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 20 passo 3,"3,64",804,826,4,141,2021-02-16,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 21 passo 3,"0,73",125,126,0,21,2021-02-16,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"44,68",13580,14252,45,3846,2021-02-17,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 18 passo 3,"1,78",495,497,4,67,2021-02-17,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 20 passo 3,"1,18",270,278,2,55,2021-02-17,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 21 passo 3,"0,56",82,82,1,17,2021-02-17,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"42,73",11632,12266,42,3050,2021-02-18,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 18 passo 3,"2,88",710,720,5,83,2021-02-18,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 20 passo 3,"2,55",530,538,3,98,2021-02-18,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 21 passo 3,"0,93",115,115,0,15,2021-02-18,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"42,85",11752,12195,38,3002,2021-02-19,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 18 passo 3,"4,07",1116,1133,8,114,2021-02-19,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 20 passo 3,"2,59",536,545,6,62,2021-02-19,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 21 passo 3,"0,45",63,63,0,8,2021-02-19,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"44,45",11648,12180,39,3001,2021-02-20,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 18 passo 3,"3,89",1021,1032,7,103,2021-02-20,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 20 passo 3,"1,93",370,374,1,55,2021-02-20,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 21 passo 3,"0,54",54,54,0,9,2021-02-20,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"45,53",13528,13889,25,3320,2021-02-21,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 18 passo 3,"2,35",665,672,5,63,2021-02-21,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 20 passo 3,"1,85",438,443,5,63,2021-02-21,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 21 passo 3,"0,6",69,69,0,17,2021-02-21,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"39,62",11708,12321,31,2759,2021-02-22,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 18 passo 3,"0,29",86,87,1,11,2021-02-22,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 20 passo 3,"0,17",66,66,0,7,2021-02-22,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 21 passo 3,"0,08",9,9,0,3,2021-02-22,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 22 passo 3,"8,34",1726,1805,9,329,2021-02-22,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 23 passo 3,"1,24",309,315,2,41,2021-02-22,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 24 passo 3,"0,07",14,14,0,2,2021-02-22,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,40,10619,11414,38,2458,2021-02-23,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 22 passo 3,"9,18",2250,2352,13,259,2021-02-23,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 23 passo 3,"0,47",95,96,1,17,2021-02-23,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 24 passo 3,"0,16",16,17,0,5,2021-02-23,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"43,1",11167,11512,32,2250,2021-02-24,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 22 passo 3,"4,99",1160,1201,6,115,2021-02-24,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 23 passo 3,"0,11",27,27,0,4,2021-02-24,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 24 passo 3,"0,23",20,21,0,4,2021-02-24,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"45,07",9480,10240,31,1852,2021-02-25,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 22 passo 3,"1,58",364,372,2,14,2021-02-25,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 24 passo 3,"0,03",2,2,0,,2021-02-25,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 25 passo 3,"4,04",446,466,2,49,2021-02-25,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"47,66",9826,10361,29,2069,2021-02-26,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 22 passo 3,"0,79",149,153,1,14,2021-02-26,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 25 passo 3,"1,56",203,209,1,32,2021-02-26,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"47,3",9452,9906,29,1957,2021-02-27,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 22 passo 3,"1,18",282,289,4,26,2021-02-27,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 25 passo 3,"2,41",288,299,5,42,2021-02-27,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"45,71",9876,10607,28,1973,2021-02-28,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 22 passo 3,"2,46",573,584,1,30,2021-02-28,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 25 passo 3,"2,13",305,309,1,36,2021-02-28,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"43,8",9320,10007,25,1780,2021-03-01,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 22 passo 3,"2,68",609,632,1,45,2021-03-01,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 25 passo 3,"2,16",334,340,1,31,2021-03-01,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"45,54",8300,8970,24,1591,2021-03-02,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 22 passo 3,"2,41",496,510,4,37,2021-03-02,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 25 passo 3,"1,28",198,204,1,19,2021-03-02,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"46,1",7959,8665,24,1588,2021-03-03,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 22 passo 3,"3,45",590,611,5,57,2021-03-03,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 25 passo 3,"1,24",181,184,0,18,2021-03-03,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"44,42",7846,8301,20,1491,2021-03-04,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 22 passo 3,"3,74",686,699,3,60,2021-03-04,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 25 passo 3,"1,09",142,145,1,10,2021-03-04,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"46,33",8220,8917,13,1460,2021-03-05,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 22 passo 3,"3,34",587,606,1,45,2021-03-05,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 25 passo 3,"1,52",181,184,0,23,2021-03-05,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"45,98",8844,9573,19,1616,2021-03-06,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 22 passo 3,"2,36",490,501,1,29,2021-03-06,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 25 passo 3,"2,26",293,299,0,30,2021-03-06,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"46,37",9412,10206,20,1707,2021-03-07,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 22 passo 3,"1,6",378,382,2,10,2021-03-07,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 25 passo 3,"1,37",203,208,0,16,2021-03-07,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"9,06",1840,1854,8,303,2021-03-08,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 22 passo 3,"4,56",1097,1132,9,42,2021-03-08,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 25 passo 3,"0,09",20,20,0,1,2021-03-08,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 26 passo 3,"3,63",370,387,3,37,2021-03-08,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 27 passo 3,"30,66",4654,5580,22,319,2021-03-08,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 22 passo 3,"12,58",2560,2664,20,60,2021-03-09,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 26 passo 3,"3,67",415,431,2,18,2021-03-09,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 27 passo 3,"32,65",4158,4833,15,188,2021-03-09,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 22 passo 3,"20,63",3623,3806,18,86,2021-03-10,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 26 passo 3,"6,47",485,507,2,28,2021-03-10,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 27 passo 3,"22,56",2536,2838,10,105,2021-03-10,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 22 passo 3,"27,06",4839,5273,17,92,2021-03-11,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 26 passo 3,"5,53",467,494,1,24,2021-03-11,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 27 passo 3,"17,76",1819,2030,5,70,2021-03-11,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 22 passo 3,"13,18",2348,2446,10,57,2021-03-12,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 26 passo 3,"4,26",377,384,2,16,2021-03-12,PASSO 03 MDV GBI
